ID;PC;n_thr;res;Nota;Final
7377;Ryzen;8;8192
7379;Ryzen;8;1024
7387;Ryzen;8;4096;
7388;Ryzen;8;2048;
7389;Ryzen;8;512;
7390;Ryzen;8;256;
7393;Ryzen;1;256;
7394;Ryzen;1;512;
7395;Ryzen;1;1024;
7396;Ryzen;1;2048;
7397;Ryzen;1;4096;
7398;Ryzen;1;8192;
7400;Xeon;1;256;
7401;Xeon;1;512;
7402;Xeon;1;1024;
7403;Xeon;1;2048;
7404;Xeon;1;4096;
7405;Xeon;1;8192;
7406;Xeon;8;256;
7407;Xeon;8;8192;
7408;Xeon;8;4096;
7409;Xeon;8;2048;
7410;Xeon;8;1024;
7411;Xeon;8;512;
7412;Xeon;8;256;
